MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,TimeStamp,HEALTH,HEALTH_DIFF_DAY,HEALTH_DIFF_WEEK,HEALTH_DIFF_MONTH,RESIDUAL_DIFF_DAY,RESIDUAL_DIFF_WEEK,RESIDUAL_DIFF_MONTH
1,PI009 (1st Stage Discharge Press),CONDITION,MACHINE_LEARNING,2,2023-12-10 23:00:00+07:00,99.57,0.23,0.37,0.5,-0.04,-0.06,-0.07
2,PI010 (2nd Stage Suction Press),CONDITION,MACHINE_LEARNING,2,2023-12-10 23:00:00+07:00,99.97,-0.01,0.01,0.0,0.01,-0.01,-0.01
3,TI010 (1st Stage Discharge Temp),CONDITION,MACHINE_LEARNING,2,2023-12-10 23:00:00+07:00,98.39,0.06,-0.1,-0.25,0.03,0.16,0.27
4,PIA012 (GG IP Compr  Discharge),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,0.03,0.03,0.03
5,PIA013 (GG HP Comp. Discharge),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,-0.03,-0.0,-0.01
6,TI017A1 (GG Exhaust Temp1A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.5,-0.28,-1.32,-1.29,1.58,4.64,4.56
7,TI017A11 (GG Exhaust Temp11A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.76,-0.28,-1.24,-1.19,1.57,4.58,4.47
8,TI017A12 (GG Exhaust Temp12A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,94.16,-0.26,-2.1,-2.08,1.45,5.09,5.0
9,TI017A13 (GG Exhaust Temp13A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.2,-0.32,-1.23,-1.26,1.82,5.19,5.26
10,TI017A14 (GG Exhaust Temp14A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.06,-0.25,-1.16,-1.09,1.5,4.61,4.42
11,TI017A15 (GG Exhaust Temp15A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,98.01,-0.18,-0.78,-0.73,1.44,4.23,4.04
12,TI017A16 (GG Exhaust Temp16A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,94.79,-0.33,-1.99,-2.0,1.6,5.22,5.25
13,TI017A17 (GG Exhaust Temp17A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.31,-0.28,-1.06,-1.03,1.69,4.55,4.5
14,TI017A2 (GG Exhaust Temp2A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,37.58,-5.86,-15.01,-14.64,1.75,4.66,4.52
15,TI017A3 (GG Exhaust Temp3A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,38.04,-5.78,-14.54,-14.62,1.74,4.58,4.6
16,TI017A4 (GG Exhaust Temp4A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,95.76,-0.27,-1.64,-1.63,1.55,5.01,4.96
17,TI017A5 (GG Exhaust Temp5A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.64,-0.2,-1.37,-1.37,1.45,4.96,4.98
18,TI017A6 (GG Exhaust Temp6A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,37.74,-4.2,-14.14,-13.54,1.3,4.74,4.51
19,TI017A7 (GG Exhaust Temp7A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,37.2,-4.82,-14.57,-14.15,1.57,5.06,4.89
20,TI017A8 (GG Exhaust Temp8A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,37.93,-4.27,-14.64,-14.78,1.27,4.75,4.8
21,TI017A9 (GG Exhaust Temp9A(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.51,-0.21,-1.37,-1.34,1.36,4.79,4.73
22,TI017B1 (GG Exhaust Temp1B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.06,0.16,-0.85,-0.84,0.54,3.56,3.56
23,TI017B10 (GG Exhaust Temp10B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,94.98,-0.37,-1.98,-2.01,1.98,6.04,6.12
24,TI017B11 (GG Exhaust Temp11B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.78,-0.2,-1.24,-1.21,1.4,4.62,4.54
25,TI017B12 (GG Exhaust Temp12B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.41,-0.18,-1.4,-1.37,1.62,5.5,5.34
26,TI017B13 (GG Exhaust Temp13B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.17,-0.39,-1.25,-1.27,2.0,5.2,5.27
27,TI017B14 (GG Exhaust Temp14B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.03,-0.27,-1.14,-1.07,1.52,4.51,4.31
28,TI017B15 (GG Exhaust Temp15B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.96,-0.22,-0.79,-0.74,1.5,4.19,4.0
29,TI017B16 (GG Exhaust Temp16B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.21,-0.35,-1.51,-1.51,1.89,5.41,5.43
30,TI017B17 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,98.29,-0.14,-0.67,-0.65,1.51,4.42,4.36
31,TI017B2 (GG Exhaust Temp17B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.34,0.17,-0.73,-0.71,0.38,3.25,3.23
32,TI017B3 (GG Exhaust Temp3B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.08,0.14,-0.85,-0.85,0.51,3.52,3.57
33,TI017B5 (GG Exhaust Temp5B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.03,0.28,-0.85,-0.86,0.21,3.5,3.54
34,TI017B6 (GG Exhaust Temp6B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,98.05,0.2,-0.52,-0.46,0.07,3.39,3.19
35,TI017B7 (GG Exhaust Temp7B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,97.68,0.19,-0.65,-0.61,0.28,3.66,3.53
36,TI017B8 (GG Exhaust Temp8B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.86,0.44,-0.83,-0.85,-0.12,3.33,3.4
37,TI017B9 (GG Exhaust Temp9B(ECS)),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,96.98,0.45,-0.78,-0.79,-0.2,3.2,3.27
38,TIA017C (GG Exhaust Average TempC),CONDITION,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,99.58,0.02,-0.03,-0.05,0.14,0.44,0.51
39,PDV542 (Primary Supply Valve),CONDITION,MACHINE_LEARNING,8,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,0.21,0.25,0.18
40,TI011A (GG Comb.Inlet Temp1(ECS)),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,87.71,-1.5,-1.96,-1.52,0.36,0.46,0.39
41,TI012A (GG Comb.Inlet Temp4(ECS)),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,87.58,-1.57,-2.49,-1.93,0.34,0.55,0.46
42,TI013A (GG Comb.Inlet Temp7(ECS)),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,92.64,-0.99,-1.42,-1.46,0.33,0.47,0.48
43,TIA016A (GG 05 Module Temp A),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,86.3,-3.09,-3.05,-0.93,0.61,0.65,0.35
44,TIA016B (GG 05 Module Temp B),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,87.22,-1.49,-1.4,0.82,0.34,0.37,0.07
45,TIA016C (GG 05 Module Temp C),PERFORMANCE,MACHINE_LEARNING,4,2023-12-10 23:00:00+07:00,85.72,-2.87,-2.92,-0.7,0.57,0.62,0.31
46,XIXA002 (PT DE X Vibration),CONDITION,MACHINE_LEARNING,7,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,0.03,-0.04,-0.11
47,XIYA001 (PT NDE Y Vibration),CONDITION,MACHINE_LEARNING,7,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,-0.02,-0.13,-0.16
48,PIA017 (Aux.Air Supply Press) ,CONDITION,INDIVIDUAL,1,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
49,PIA025 (F.G.Primary Supply Press),CONDITION,INDIVIDUAL,3,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
50,PIA027 (F.G.Secondary Supply),CONDITION,INDIVIDUAL,3,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
51,TI026A (Fuel Gas Reg.TempA (ECS)) ,CONDITION,INDIVIDUAL,3,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.14,,,
52,TI026B (Fuel Gas Reg.TempB (ECS)),CONDITION,INDIVIDUAL,3,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.07,,,
53,PDI011 (GT Inlet Cooling Air dP),CONDITION,INDIVIDUAL,1,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
54,PDIA003 (1st Suction Filter dP),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
55,PDIA004 (2nd Suction Filter dP),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
56,PI011 (2nd Stage Discharge Press),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
57,TI012 (2nd Stage Suction Temp),CONDITION,INDIVIDUAL,4,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.29,,,
58,TI014 (2nd Stage Discharge Temp),CONDITION,INDIVIDUAL,4,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.39,,,
59,TIA013A (Compr Discharge TempA),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.4,,,
60,TIA013B (Compr Discharge TempB),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.32,,,
61,TIA013C (Compr Discharge TempC),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.46,,,
62,TIA501 (Comp. Outboard Bear. Temp1),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
63,TIA502 (Comp. Outboard Bear. Temp2),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
64,TIA503 (Comp. Outboard Bear. Temp3),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
65,TIA504 (Compr Inboard Bear. Temp1),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.21,,,
66,TIA505 (Compr Inboard Bear. Temp2),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
67,TIA506 (Compr Inboard Bear. Temp3),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.0,0.0,,,
68,TIA507 (Compr NDE Bearing Temp1),CONDITION,INDIVIDUAL,2,2023-12-10 23:00:00+07:00,100.0,0.0,0.83,0.58,,,
