MODEL_ID,MODEL_NAME,MODEL_TYPE,MODEL_CLASS,COMPONENT_ID,TimeStamp,HEALTH,HEALTH_DIFF_DAY,HEALTH_DIFF_WEEK,HEALTH_DIFF_MONTH,RESIDUAL_DIFF_DAY,RESIDUAL_DIFF_WEEK,RESIDUAL_DIFF_MONTH
1,Front_Bear_Temp(Generator bearing temperature DE),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
2,Rear_Bear_Temp(Generator bearing temperature NDE),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
3,TotalKVAR(Total reactive power),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
4,VoltageL1L2(Generator voltage phase A),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
5,VoltageL2L3(Generator voltage phase B),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
6,VoltageL3L1(Generator voltage phase C),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
7,PowerFactor(Generator power factor),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
8,PF_Lagging(Power factor lead/Lag status),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
9,Frequency(Generator frequency ),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
10,AVG_LN_AC_RMS_Voltage(Average Line -Netural AC Voltage),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
11,BALANCE_VOLTAGE_PHASE,CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
12,BALANCE_CURRENT_PHASE,CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
13,BAND2X(Vibration NDE Gen Band 2x),CONDITION,INDIVIDUAL,1,,100,0.3,0.3,0.3,,,
14,BAND4X(Vibration NDE Gen Band 4x),CONDITION,INDIVIDUAL,1,,100,0,0,0,,,
15,BAND2X(Vibration DE Gen Band 2x),CONDITION,INDIVIDUAL,1,,100,0.13,0.13,0.13,,,
16,BAND4X(Vibration DE Gen Band 4x),CONDITION,INDIVIDUAL,1,,74.72,6.29,6.29,6.29,,,
17,Generator bearing temperature NDE vs. Vibration NDE Gen overall,CONDITION,CLASSIFICATION,1,,100,1.62,0.22,0.3,,,
18,Generator bearing temperature DE vs. Vibration DE Gen overall,CONDITION,CLASSIFICATION,1,,100,1.93,0.38,0.36,,,
19,TotalKW(Generator Load),PERFORMANCE,MACHINE_LEARNING,1,,100,0,0,3.48,-1.9,-4.6,-10.22
20,BAND2X(Vibration Radiator fan Band 2x),CONDITION,INDIVIDUAL,2,,100,0.96,0.96,0.96,,,
21,BAND4X(Vibration Radiator fan Band 4x),CONDITION,INDIVIDUAL,2,,100,0,0,0,,,
22,VELOCITY(Vibration Radiator fan overall),CONDITION,INDIVIDUAL,2,,100,0.13,0.13,0.13,,,
